Ticker,Date/Time,Close,Trend_MACD_RSI,Trend_MACD_SIGNAL
SPY,02/10/2019,288.06,1.00,2.00
SPY,03/10/2019,290.42,1.00,2.00
SPY,04/10/2019,294.35,1.00,2.00
SPY,07/10/2019,293.08,1.00,2.00
SPY,08/10/2019,288.53,1.00,1.00
SPY,09/10/2019,291.27,1.00,1.00
SPY,10/10/2019,293.24,1.00,1.00
SPY,11/10/2019,296.28,1.00,1.00
SPY,14/10/2019,295.95,1.00,1.00
SPY,15/10/2019,298.88,2.00,1.00
SPY,16/10/2019,298.40,3.00,2.00
SPY,17/10/2019,299.28,3.00,2.00
SPY,18/10/2019,297.97,3.00,2.00
SPY,21/10/2019,299.99,3.00,3.00
SPY,22/10/2019,299.01,3.00,3.00
SPY,23/10/2019,299.88,3.00,3.00
SPY,24/10/2019,300.37,3.00,3.00
SPY,25/10/2019,301.60,3.00,3.00
SPY,28/10/2019,303.30,3.00,3.00
SPY,29/10/2019,303.21,3.00,3.00
SPY,30/10/2019,304.14,3.00,3.00
SPY,31/10/2019,303.33,3.00,3.00
SPY,01/11/2019,306.14,3.00,3.00
SPY,04/11/2019,307.37,3.00,3.00
SPY,05/11/2019,307.03,3.00,3.00
SPY,06/11/2019,307.10,3.00,3.00
SPY,07/11/2019,308.18,3.00,3.00
SPY,08/11/2019,308.94,3.00,3.00
SPY,11/11/2019,308.35,3.00,3.00
SPY,12/11/2019,309.00,3.00,3.00
SPY,13/11/2019,309.10,3.00,3.00
SPY,14/11/2019,309.55,3.00,3.00
SPY,15/11/2019,311.79,3.00,3.00
SPY,18/11/2019,312.02,3.00,3.00
SPY,19/11/2019,311.93,3.00,3.00
SPY,20/11/2019,310.77,3.00,3.00
SPY,21/11/2019,310.27,3.00,3.00
SPY,22/11/2019,310.96,3.00,3.00
SPY,25/11/2019,313.37,3.00,3.00
SPY,26/11/2019,314.08,3.00,3.00
SPY,27/11/2019,315.48,3.00,3.00
SPY,29/11/2019,314.31,3.00,3.00
SPY,02/12/2019,311.64,3.00,3.00
SPY,03/12/2019,309.55,3.00,3.00
SPY,04/12/2019,311.46,3.00,3.00
SPY,05/12/2019,312.02,3.00,3.00
SPY,06/12/2019,314.87,3.00,3.00
SPY,09/12/2019,313.88,3.00,3.00
SPY,10/12/2019,313.53,3.00,3.00
SPY,11/12/2019,314.42,3.00,3.00
SPY,12/12/2019,317.13,3.00,3.00
SPY,13/12/2019,317.32,3.00,3.00
SPY,16/12/2019,319.50,3.00,3.00
SPY,17/12/2019,319.57,3.00,3.00
SPY,18/12/2019,319.59,3.00,3.00
SPY,19/12/2019,320.90,3.00,3.00
SPY,20/12/2019,320.73,3.00,3.00
SPY,23/12/2019,321.22,3.00,3.00
SPY,24/12/2019,321.23,3.00,3.00
SPY,26/12/2019,322.94,3.00,3.00
SPY,27/12/2019,322.86,3.00,3.00
SPY,30/12/2019,321.08,3.00,3.00
SPY,31/12/2019,321.86,3.00,3.00
SPY,02/01/2020,324.87,3.00,3.00
SPY,03/01/2020,322.41,3.00,3.00
SPY,06/01/2020,323.64,3.00,3.00
SPY,07/01/2020,322.73,3.00,3.00
SPY,08/01/2020,324.45,3.00,3.00
SPY,09/01/2020,326.65,3.00,3.00
SPY,10/01/2020,325.71,3.00,3.00
SPY,13/01/2020,327.95,3.00,3.00
SPY,14/01/2020,327.45,3.00,3.00
SPY,15/01/2020,328.19,3.00,3.00
SPY,16/01/2020,330.92,3.00,3.00
SPY,17/01/2020,331.95,3.00,3.00
SPY,21/01/2020,331.30,3.00,3.00
SPY,22/01/2020,331.34,3.00,3.00
SPY,23/01/2020,331.72,3.00,3.00
SPY,24/01/2020,328.77,3.00,3.00
